date,Product_Item,demand_qty,lag_1,lag_7,lag_14,roll_mean_7,roll_std_7,roll_mean_30,roll_std_30,day_of_week,week_of_year,month,quarter,is_weekend
2020-01-13 07:43:27,['Air Freshener'],1,,,,,,,,0,3,1,1,0
2020-01-16 08:07:17,['Air Freshener'],1,1.0,,,1.0,,1.0,,3,3,1,1,0
2020-01-21 00:02:11,['Air Freshener'],1,1.0,,,1.0,0.0,1.0,0.0,1,4,1,1,0
2020-01-28 01:11:20,['Air Freshener'],1,1.0,,,1.0,0.0,1.0,0.0,1,5,1,1,0
2020-03-16 16:19:16,['Air Freshener'],1,1.0,,,1.0,0.0,1.0,0.0,0,12,3,1,0
2020-03-20 06:58:31,['Air Freshener'],1,1.0,,,1.0,0.0,1.0,0.0,4,12,3,1,0
2020-04-01 06:46:30,['Air Freshener'],1,1.0,,,1.0,0.0,1.0,0.0,2,14,4,2,0
2020-04-07 18:15:15,['Air Freshener'],1,1.0,1.0,,1.0,0.0,1.0,0.0,1,15,4,2,0
2020-05-12 01:51:14,['Air Freshener'],1,1.0,1.0,,1.0,0.0,1.0,0.0,1,20,5,2,0
2020-05-23 08:51:52,['Air Freshener'],1,1.0,1.0,,1.0,0.0,1.0,0.0,5,21,5,2,1
2020-05-25 21:01:21,['Air Freshener'],1,1.0,1.0,,1.0,0.0,1.0,0.0,0,22,5,2,0
2020-05-28 22:31:05,['Air Freshener'],1,1.0,1.0,,1.0,0.0,1.0,0.0,3,22,5,2,0
2020-06-14 06:54:11,['Air Freshener'],1,1.0,1.0,,1.0,0.0,1.0,0.0,6,24,6,2,1
2020-06-22 13:51:01,['Air Freshener'],1,1.0,1.0,,1.0,0.0,1.0,0.0,0,26,6,2,0
2020-07-06 16:26:00,['Air Freshener'],1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0,28,7,3,0
2020-07-15 21:14:26,['Air Freshener'],1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2,29,7,3,0
2020-08-26 16:11:41,['Air Freshener'],1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2,35,8,3,0
2020-08-27 22:18:09,['Air Freshener'],1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,3,35,8,3,0
2020-09-06 00:04:27,['Air Freshener'],1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,6,36,9,3,1
2020-09-10 15:56:35,['Air Freshener'],1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,3,37,9,3,0
2020-09-17 10:00:18,['Air Freshener'],1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,3,38,9,3,0
2020-09-27 19:25:21,['Air Freshener'],1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,6,39,9,3,1
2020-10-05 17:52:28,['Air Freshener'],1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0,41,10,4,0
2020-10-14 15:57:01,['Air Freshener'],1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2,42,10,4,0
2020-11-03 18:51:32,['Air Freshener'],1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1,45,11,4,0
2020-11-26 00:27:09,['Air Freshener'],1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,3,48,11,4,0
2020-11-27 18:31:00,['Air Freshener'],1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,4,48,11,4,0
2020-12-11 16:44:14,['Air Freshener'],1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,4,50,12,4,0
2020-12-24 09:40:14,['Air Freshener'],1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,3,52,12,4,0
2020-12-28 01:37:34,['Air Freshener'],1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0,53,12,4,0
2020-12-31 16:01:31,['Air Freshener'],1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,3,53,12,4,0
