sku,date,ensemble_forecast
S001_P0001,2023-12-26,133.14337653617787
S001_P0001,2023-12-27,119.888820609929
S001_P0001,2023-12-28,159.4839168427158
S001_P0001,2023-12-29,117.5088169439657
S001_P0001,2023-12-30,145.94254671009148
S001_P0001,2023-12-31,156.86297464102256
S001_P0001,2024-01-01,131.9406663301357
S001_P0002,2023-12-26,138.0536248408736
S001_P0002,2023-12-27,130.69646818339265
S001_P0002,2023-12-28,181.96594096281694
S001_P0002,2023-12-29,88.12769114177333
S001_P0002,2023-12-30,117.96565784885428
S001_P0002,2023-12-31,102.23324617516144
S001_P0002,2024-01-01,160.4439166306595
S001_P0003,2023-12-26,158.7949905005883
S001_P0003,2023-12-27,97.7041795805304
S001_P0003,2023-12-28,70.97312510547027
S001_P0003,2023-12-29,116.48466708943842
S001_P0003,2023-12-30,205.7570509651064
S001_P0003,2023-12-31,173.47309120629876
S001_P0003,2024-01-01,171.37433193273574
S001_P0004,2023-12-26,88.37081372128553
S001_P0004,2023-12-27,173.3520816104707
S001_P0004,2023-12-28,133.02347007738075
S001_P0004,2023-12-29,151.06717215154492
S001_P0004,2023-12-30,195.15300942990012
S001_P0004,2023-12-31,113.21105194142575
S001_P0004,2024-01-01,159.03985124719534
S001_P0005,2023-12-26,190.31221042427202
S001_P0005,2023-12-27,109.90687268608798
S001_P0005,2023-12-28,94.86743860792879
S001_P0005,2023-12-29,164.48672047389798
S001_P0005,2023-12-30,96.13290185568981
S001_P0005,2023-12-31,150.71240234443204
S001_P0005,2024-01-01,134.07492205928807
S001_P0006,2023-12-26,183.58553824442401
S001_P0006,2023-12-27,115.85684225554522
S001_P0006,2023-12-28,139.52483546920217
S001_P0006,2023-12-29,160.03436314936226
S001_P0006,2023-12-30,164.95557391976251
S001_P0006,2023-12-31,161.0694184115409
S001_P0006,2024-01-01,182.55536281774565
S001_P0007,2023-12-26,132.89985549317848
S001_P0007,2023-12-27,72.32725003733282
S001_P0007,2023-12-28,181.72433523579627
S001_P0007,2023-12-29,179.2170994339659
S001_P0007,2023-12-30,160.20509953787752
S001_P0007,2023-12-31,230.7331113089582
S001_P0007,2024-01-01,168.3735075526831
S001_P0008,2023-12-26,159.41248847994973
S001_P0008,2023-12-27,80.43588078937577
S001_P0008,2023-12-28,167.38027323267025
S001_P0008,2023-12-29,168.16075829088965
S001_P0008,2023-12-30,123.10061265997611
S001_P0008,2023-12-31,100.6934944537647
S001_P0008,2024-01-01,141.95444378780587
S001_P0009,2023-12-26,122.92604441431185
S001_P0009,2023-12-27,194.29217337470115
S001_P0009,2023-12-28,77.90213672660167
S001_P0009,2023-12-29,167.1783636256686
S001_P0009,2023-12-30,177.75088675507303
S001_P0009,2023-12-31,88.40872621394652
S001_P0009,2024-01-01,61.89081802406707
S001_P0010,2023-12-26,85.86610518384376
S001_P0010,2023-12-27,93.09181158794638
S001_P0010,2023-12-28,118.97343008330967
S001_P0010,2023-12-29,135.78509931215856
S001_P0010,2023-12-30,116.64157108502896
S001_P0010,2023-12-31,211.5931263543232
S001_P0010,2024-01-01,119.78719301818597
S001_P0011,2023-12-26,153.98556598068953
S001_P0011,2023-12-27,137.10557079372063
S001_P0011,2023-12-28,83.58779377154647
S001_P0011,2023-12-29,204.6436125377995
S001_P0011,2023-12-30,218.97656385984268
S001_P0011,2023-12-31,140.0354351594309
S001_P0011,2024-01-01,101.44451186464616
S001_P0012,2023-12-26,104.37464740991933
S001_P0012,2023-12-27,146.0607562789106
S001_P0012,2023-12-28,132.70861837800095
S001_P0012,2023-12-29,38.53612861105965
S001_P0012,2023-12-30,188.72642703430785
S001_P0012,2023-12-31,193.73860872095938
S001_P0012,2024-01-01,144.4680365827028
S001_P0013,2023-12-26,160.57845280954388
S001_P0013,2023-12-27,242.45285134638706
S001_P0013,2023-12-28,96.91501530285976
