sku,date,units_sold,lgb,xgb,arima,tree_blend,mae_arima,forecast
S001_P0001,2023-12-26,46,82.47740129309447,71.84528,134.70739671339066,77.0550194336163,82.40957437898257,77.0550194336163
S001_P0001,2023-12-27,196,146.01760214315684,107.72374,141.4518999073401,126.48773245014686,82.40957437898257,126.48773245014686
S001_P0001,2023-12-28,67,137.38627146735178,171.60751,133.1847096401106,154.83910311900235,82.40957437898257,154.83910311900235
S001_P0001,2023-12-29,168,175.61739819124745,214.84636,141.37663583354717,195.62416871371124,82.40957437898257,195.62416871371124
S001_P0001,2023-12-30,30,146.66763959783137,162.52779,133.28432938052194,154.75631630293736,82.40957437898257,154.75631630293736
S001_P0001,2023-12-31,26,116.8159023918774,53.271538,141.27782806474343,84.40827655201993,82.40957437898257,84.40827655201993
S001_P0001,2024-01-01,40,100.8601710657428,122.726006,133.38193709039433,112.01174688221397,82.40957437898257,112.01174688221397
S001_P0002,2023-12-26,176,94.4638676415398,95.94723,122.49824134497388,95.2203824443545,58.68901487222714,95.2203824443545
S001_P0002,2023-12-27,48,146.0524734464661,168.76956,118.2596909168073,157.6381875887684,58.68901487222714,157.6381875887684
S001_P0002,2023-12-28,22,101.63280848854971,98.97845,121.82747297516912,100.27908565938935,58.68901487222714,100.27908565938935
S001_P0002,2023-12-29,81,3.862263463167807,37.65264,119.35546829284716,21.095355496952223,58.68901487222714,21.095355496952223
S001_P0002,2023-12-30,105,180.04182269720377,154.7809,121.0898102110346,167.15875212162985,58.68901487222714,167.15875212162985
S001_P0002,2023-12-31,6,127.991851965991,87.28055,119.8740714148346,107.22908796333559,58.68901487222714,107.22908796333559
S001_P0002,2024-01-01,99,175.09838713990055,152.29358,120.7263316812098,163.46793549855127,58.68901487222714,163.46793549855127
S001_P0003,2023-12-26,362,147.5323429780963,175.31787,147.0417692958676,161.70296175926717,76.42831980594754,161.70296175926717
S001_P0003,2023-12-27,203,14.40520655546922,0.0,139.4322638414332,7.058551212179918,76.42831980594754,7.058551212179918
S001_P0003,2023-12-28,212,35.15983749470545,38.543194,143.2972061693095,36.885349312405666,76.42831980594754,36.885349312405666
S001_P0003,2023-12-29,107,79.27225851240125,55.415028,139.62192760984007,67.10507095107661,76.42831980594754,67.10507095107661
S001_P0003,2023-12-30,91,173.8538253061524,136.43437,143.28382952040602,154.7699031000147,76.42831980594754,154.7699031000147
S001_P0003,2023-12-31,143,175.7889677874448,118.3644,139.62655789444827,146.50243821584795,76.42831980594754,146.50243821584795
S001_P0003,2024-01-01,64,193.35998854017643,210.40752,143.27963747851933,202.05422958468645,76.42831980594754,202.05422958468645
S001_P0004,2023-12-26,123,133.61759637561408,187.96074,142.08611690492464,161.33259962405089,82.99392972620537,161.33259962405089
S001_P0004,2023-12-27,360,108.58996619391196,70.17002,139.983519226559,88.99579363501685,82.99392972620537,88.99579363501685
S001_P0004,2023-12-28,265,257.8766115898731,301.2657,141.82997987313675,280.00504667903783,82.99392972620537,280.00504667903783
S001_P0004,2023-12-29,73,101.98935447321092,155.20369,139.99759488808678,129.12866559187336,82.99392972620537,129.12866559187336
S001_P0004,2023-12-30,43,177.20394228267796,142.57224,141.81464883628084,159.5417741185122,82.99392972620537,159.5417741185122
S001_P0004,2023-12-31,158,210.31850456729,219.49907,140.01278986166764,215.0005929379721,82.99392972620537,215.0005929379721
S001_P0004,2024-01-01,182,140.8613697989281,135.61882,141.79958088489553,138.18766940147478,82.99392972620537,138.18766940147478
S001_P0005,2023-12-26,458,185.71130126349496,135.0124,127.58125622412,159.85486161911254,112.57110423505596,159.85486161911254
S001_P0005,2023-12-27,35,130.8778130324681,136.78973,124.5279060509877,133.89289068590938,112.57110423505596,133.89289068590938
S001_P0005,2023-12-28,97,113.2684598107887,158.52089,142.7871526717309,136.34719920728645,112.57110423505596,136.34719920728645
S001_P0005,2023-12-29,270,160.19501422590264,182.0288,123.85768850219092,171.3302449706923,112.57110423505596,171.3302449706923
S001_P0005,2023-12-30,132,101.29000133344572,123.86882,141.91000873175298,112.80519885338839,112.57110423505596,112.80519885338839
S001_P0005,2023-12-31,52,112.99840868572876,102.0907,124.85210503609248,107.43547725600709,112.57110423505596,107.43547725600709
S001_P0005,2024-01-01,272,114.53918164113551,140.40323,140.95312430056862,127.72984630415641,112.57110423505596,127.72984630415641
S001_P0006,2023-12-26,85,218.74448490734844,176.99315,125.33877755461344,197.45130410460075,60.99388609881362,197.45130410460075
S001_P0006,2023-12-27,109,155.1389910521482,161.6039,134.74405873529324,158.43609461555263,60.99388609881362,158.43609461555263
S001_P0006,2023-12-28,12,99.8416948129276,155.06389,127.08635531279783,128.0050143583345,60.99388609881362,128.0050143583345
S001_P0006,2023-12-29,46,121.96761127137904,125.859955,133.76396917449634,123.95270657297573,60.99388609881362,123.95270657297573
S001_P0006,2023-12-30,38,102.34862904835433,168.96646,127.94693355452787,136.32372283369364,60.99388609881362,136.32372283369364
S001_P0006,2023-12-31,146,152.09763748296717,77.38964,133.01437214934887,113.99655876665392,60.99388609881362,113.99655876665392
S001_P0006,2024-01-01,87,186.62009198107893,206.24886,128.59993665394484,196.6307636707287,60.99388609881362,196.6307636707287
S001_P0007,2023-12-26,256,171.82043000166595,186.95506,135.5089641865699,179.53909130081632,101.30165992125931,179.53909130081632
S001_P0007,2023-12-27,56,158.102656133962,142.95282,124.41809755440532,150.37623970564138,101.30165992125931,150.37623970564138
S001_P0007,2023-12-28,144,184.0941952635242,140.94144,136.44280318082193,162.08629007912685,101.30165992125931,162.08629007912685
S001_P0007,2023-12-29,59,181.4494452611554,197.40245,124.81787676035178,189.58547767796614,101.30165992125931,189.58547767796614
S001_P0007,2023-12-30,368,158.0623932267948,112.53322,136.07090673725264,134.84251488112943,101.30165992125931,134.84251488112943
S001_P0007,2023-12-31,181,156.70435222928373,148.2895,125.178044831755,152.41277759234902,101.30165992125931,152.41277759234902
S001_P0007,2024-01-01,9,250.8082398523008,144.93768,135.72226827677446,196.8142543276274,101.30165992125931,196.8142543276274
S001_P0008,2023-12-26,192,138.4564542715098,169.87854,140.40814424739267,154.4817179930398,74.73106753010946,154.4817179930398
S001_P0008,2023-12-27,168,79.14326144071123,153.03113,137.2719103529338,116.8260744059485,74.73106753010946,116.8260744059485
S001_P0008,2023-12-28,287,62.43189552155102,111.73973,137.13169575779,87.57889110555999,74.73106753010946,87.57889110555999
S001_P0008,2023-12-29,105,80.49280657869382,99.18525,137.15933162586398,90.02595272355997,74.73106753010946,90.02595272355997
S001_P0008,2023-12-30,12,118.78895941674214,0.0,137.1282589790531,58.20659011420365,74.73106753010946,58.20659011420365
S001_P0008,2023-12-31,100,120.43172428959512,91.58115,137.15880242683997,105.71793140190161,74.73106753010946,105.71793140190161
S001_P0008,2024-01-01,233,125.15627245748608,137.6975,137.1286471284095,131.55229850416816,74.73106753010946,131.55229850416816
S001_P0009,2023-12-26,96,57.272316266784586,48.29744,144.61975224279325,52.695129370724445,54.88194857811277,52.695129370724445
S001_P0009,2023-12-27,212,198.2605959080485,203.42403,142.5589664515022,200.89394729494376,54.88194857811277,200.89394729494376
S001_P0009,2023-12-28,96,96.203703539245,120.68842,143.74102026244373,108.69090893423004,54.88194857811277,108.69090893423004
S001_P0009,2023-12-29,147,152.3942277117714,196.64212,142.77946552941867,174.960652778768,54.88194857811277,174.960652778768
S001_P0009,2023-12-30,138,160.6554870931942,179.62863,143.56370572576017,170.33178997566517,54.88194857811277,170.33178997566517
S001_P0009,2023-12-31,54,65.20986271260733,81.41187,142.9240720761535,73.47288642917759,54.88194857811277,73.47288642917759
S001_P0009,2024-01-01,22,106.4593330368547,45.794666,143.44576332517363,75.5203528480588,54.88194857811277,75.5203528480588
S001_P0010,2023-12-26,133,128.00178204519426,132.7786,136.22006528693402,130.43795920214518,83.39894119083125,130.43795920214518
S001_P0010,2023-12-27,13,85.26805475545724,67.6375,138.48459849247348,76.27647183017405,83.39894119083125,76.27647183017405
S001_P0010,2023-12-28,114,152.705534189348,153.85976,137.03653654984905,153.2941893527805,83.39894119083125,153.2941893527805
S001_P0010,2023-12-29,53,181.87162063357349,201.22404,138.1493358783366,191.741354510451,83.39894119083125,191.741354510451
S001_P0010,2023-12-30,331,86.77980489440971,109.504524,137.29540115934455,98.36941163826076,83.39894119083125,98.36941163826076
S001_P0010,2023-12-31,58,167.13725137880334,87.64854,137.9506962399898,126.59800857561365,83.39894119083125,126.59800857561365
S001_P0010,2024-01-01,70,97.40686582180636,49.286068,137.44783389924507,72.86525893268512,83.39894119083125,72.86525893268512
S001_P0011,2023-12-26,153,115.87674906113456,103.00209,130.71098195365303,109.31067293995594,89.69644124634871,109.31067293995594
S001_P0011,2023-12-27,33,111.53912573216,64.15969,147.0529509266358,87.3756135087584,89.69644124634871,87.3756135087584
S001_P0011,2023-12-28,231,41.6580163123071,66.83402,133.6040674043046,54.49777819303048,89.69644124634871,54.49777819303048
S001_P0011,2023-12-29,218,156.7356786825753,187.12454,145.19670740896635,172.2339979544619,89.69644124634871,172.2339979544619
