sku,date,forecast,forecast_arima,mae_arima,final_forecast
S001_P0001,2023-12-26,132.06895356163022,,82.40957437898257,132.06895356163022
S001_P0001,2023-12-27,115.96688040714704,,82.40957437898257,115.96688040714704
S001_P0001,2023-12-28,164.79489855899078,,82.40957437898257,164.79489855899078
S001_P0001,2023-12-29,112.27241097924129,,82.40957437898257,112.27241097924129
S001_P0001,2023-12-30,147.81682667054497,,82.40957437898257,147.81682667054497
S001_P0001,2023-12-31,162.48908208874246,,82.40957437898257,162.48908208874246
S001_P0001,2024-01-01,131.45843060787715,,82.40957437898257,131.45843060787715
S001_P0002,2023-12-26,143.11761891408293,,58.68901487222714,143.11761891408293
S001_P0002,2023-12-27,132.72696170915623,,58.68901487222714,132.72696170915623
S001_P0002,2023-12-28,197.46544752681683,,58.68901487222714,197.46544752681683
S001_P0002,2023-12-29,80.82112518990982,,58.68901487222714,80.82112518990982
S001_P0002,2023-12-30,117.83968625520689,,58.68901487222714,117.83968625520689
S001_P0002,2023-12-31,98.14190255198386,,58.68901487222714,98.14190255198386
S001_P0002,2024-01-01,170.80940703602056,,58.68901487222714,170.80940703602056
S001_P0003,2023-12-26,162.60173117818022,,76.42831980594754,162.60173117818022
S001_P0003,2023-12-27,86.52831743163559,,76.42831980594754,86.52831743163559
S001_P0003,2023-12-28,53.59236789244886,,76.42831980594754,53.59236789244886
S001_P0003,2023-12-29,109.84276227600552,,76.42831980594754,109.84276227600552
S001_P0003,2023-12-30,222.447533891599,,76.42831980594754,222.447533891599
S001_P0003,2023-12-31,181.38055053929736,,76.42831980594754,181.38055053929736
S001_P0003,2024-01-01,179.23410753567876,,76.42831980594754,179.23410753567876
S001_P0004,2023-12-26,75.57744931326168,,82.99392972620537,75.57744931326168
S001_P0004,2023-12-27,182.1759221840224,,82.99392972620537,182.1759221840224
S001_P0004,2023-12-28,130.46212296057206,,82.99392972620537,130.46212296057206
S001_P0004,2023-12-29,154.22455742252689,,82.99392972620537,154.22455742252689
S001_P0004,2023-12-30,209.08258780111575,,82.99392972620537,209.08258780111575
S001_P0004,2023-12-31,106.01541767889574,,82.99392972620537,106.01541767889574
S001_P0004,2024-01-01,164.39086662847546,,82.99392972620537,164.39086662847546
S001_P0005,2023-12-26,208.3254670976557,,112.57110423505596,208.3254670976557
S001_P0005,2023-12-27,104.00104347329386,,112.57110423505596,104.00104347329386
S001_P0005,2023-12-28,86.09800288165049,,112.57110423505596,86.09800288165049
S001_P0005,2023-12-29,172.47640819259547,,112.57110423505596,172.47640819259547
S001_P0005,2023-12-30,86.57829968961869,,112.57110423505596,86.57829968961869
S001_P0005,2023-12-31,156.14378191622907,,112.57110423505596,156.14378191622907
S001_P0005,2024-01-01,134.43232986610414,,112.57110423505596,134.43232986610414
S001_P0006,2023-12-26,197.15838456740977,,60.99388609881362,197.15838456740977
S001_P0006,2023-12-27,111.73659759095472,,60.99388609881362,111.73659759095472
S001_P0006,2023-12-28,141.7321939418949,,60.99388609881362,141.7321939418949
S001_P0006,2023-12-29,167.67991364188993,,60.99388609881362,167.67991364188993
S001_P0006,2023-12-30,174.30480835178105,,60.99388609881362,174.30480835178105
