sku,date,pred
S001_P0001,2024-01-02,138.43163515116294
S001_P0001,2024-01-03,137.29993426774158
S001_P0001,2024-01-04,137.30646711666486
S001_P0001,2024-01-05,137.306429405185
S001_P0001,2024-01-06,137.30642962287806
S001_P0001,2024-01-07,137.3064296216214
S001_P0001,2024-01-08,137.30642962162864
S001_P0002,2024-01-02,131.88610371425403
S001_P0002,2024-01-03,130.84441538225286
S001_P0002,2024-01-04,131.08271566914365
S001_P0002,2024-01-05,131.02820125731077
S001_P0002,2024-01-06,131.0406721659121
S001_P0002,2024-01-07,131.03781927699495
S001_P0002,2024-01-08,131.03847191389846
S001_P0003,2024-01-02,145.70612345723208
S001_P0003,2024-01-03,140.89276561269824
S001_P0003,2024-01-04,141.5108246382539
S001_P0003,2024-01-05,141.43146279327811
S001_P0003,2024-01-06,141.44165324787474
S001_P0003,2024-01-07,141.44034474295128
S001_P0003,2024-01-08,141.44051276147474
S001_P0004,2024-01-02,141.1303017725323
S001_P0004,2024-01-03,140.7736569141712
S001_P0004,2024-01-04,140.9793343701635
S001_P0004,2024-01-05,140.860719970119
S001_P0004,2024-01-06,140.9291250164088
S001_P0004,2024-01-07,140.88967575598042
S001_P0004,2024-01-08,140.91242618497293
S001_P0005,2024-01-02,121.74985419946096
S001_P0005,2024-01-03,127.59849189308038
S001_P0005,2024-01-04,130.43928619372858
S001_P0005,2024-01-05,131.81911388717575
S001_P0005,2024-01-06,132.48932237892382
S001_P0005,2024-01-07,132.81485535999408
S001_P0005,2024-01-08,132.97297290560752
S001_P0006,2024-01-02,125.36632962550036
S001_P0006,2024-01-03,135.24773116957476
S001_P0006,2024-01-04,126.7267551389183
S001_P0006,2024-01-05,134.07460272826785
S001_P0006,2024-01-06,127.7383726999162
S001_P0006,2024-01-07,133.20225997901244
S001_P0006,2024-01-08,128.490615347254
S001_P0007,2024-01-02,135.2819757752174
S001_P0007,2024-01-03,138.82288840048534
S001_P0007,2024-01-04,137.42767731720588
S001_P0007,2024-01-05,137.9774265408989
S001_P0007,2024-01-06,137.76081113942095
S001_P0007,2024-01-07,137.84616320566352
S001_P0007,2024-01-08,137.81253228578353
